observation,action
"0.0059344294, 1.4078966, 0.6010746, -0.13438372, -0.006869705, -0.13615248, 0.0, 0.0","0.0, 0.0"
"0.011869049, 1.4042968, 0.6002621, -0.16004807, -0.013597605, -0.13457017, 0.0, 0.0","0.0, 0.0"
"0.017803764, 1.4000973, 0.60028327, -0.1867221, -0.020321453, -0.13448969, 0.0, 0.0","0.0, 0.0"
"0.023738766, 1.3952982, 0.60030407, -0.2133967, -0.027044412, -0.13447173, 0.0, 0.0","0.0, 0.0"
"0.029674148, 1.3898997, 0.6003238, -0.24006844, -0.033766314, -0.1344504, 0.0, 0.0","0.0, 0.0"
"0.035609625, 1.3839018, 0.6003436, -0.26673985, -0.04048714, -0.13442887, 0.0, 0.0","0.0, 0.0"
"0.04154539, 1.3773044, 0.60036325, -0.2934114, -0.0472069, -0.13440755, 0.0, 0.0","0.0, 0.030335398"
"0.047481347, 1.3701077, 0.60038286, -0.3200832, -0.053925585, -0.13438621, 0.0, 0.0","0.0, 0.04235969"
"0.053417586, 1.3623116, 0.60040236, -0.34675512, -0.060643215, -0.13436499, 0.0, 0.0","0.0, 0.022827845"
"0.05935402, 1.353916, 0.6004218, -0.37342724, -0.067359805, -0.13434386, 0.0, 0.0","0.0, -0.015472884"
"0.065290645, 1.344921, 0.6004411, -0.4000995, -0.074075334, -0.13432279, 0.0, 0.0","0.12594989, -0.024536882"
"0.07119846, 1.3359551, 0.59783554, -0.39885476, -0.081073664, -0.13997926, 0.0, 0.0","0.7484359, 0.009887997"
"0.07711382, 1.3269098, 0.5986853, -0.4024126, -0.08816865, -0.1419126, 0.0, 0.0","1.0000305, 0.106967375"
"0.083216, 1.3185182, 0.616828, -0.37336928, -0.09473196, -0.13127796, 0.0, 0.0","1.0000305, 0.18161565"
"0.089233205, 1.3108342, 0.6091202, -0.34199682, -0.1020817, -0.14700831, 0.0, 0.0","1.0000305, 0.25730154"
"0.095298864, 1.3031636, 0.6139279, -0.3414308, -0.10939947, -0.14636882, 0.0, 0.0","0.99182105, 0.3488876"
"0.10136871, 1.2963881, 0.6148337, -0.30172652, -0.117208034, -0.15618569, 0.0, 0.0","0.9491867, 0.46427807"
"0.10745458, 1.2898299, 0.6166557, -0.29213038, -0.1252395, -0.1606442, 0.0, 0.0","0.9119541, 0.57109284"
"0.11352901, 1.2838241, 0.6170807, -0.267752, -0.13484386, -0.19210443, 0.0, 0.0","0.90359205, 0.59874266"
"0.119694516, 1.2779803, 0.6274352, -0.26074293, -0.1457125, -0.21739253, 0.0, 0.0","0.90084535, 0.60695213"
"0.1260437, 1.2727621, 0.64695495, -0.23314713, -0.15774836, -0.24073894, 0.0, 0.0","0.8984039, 0.6122013"
"0.13249274, 1.2677071, 0.6582156, -0.22613424, -0.1710889, -0.26683468, 0.0, 0.0","0.897763, 0.6128422"
"0.1391118, 1.2625746, 0.6762584, -0.22982165, -0.18549769, -0.2882016, 0.0, 0.0","0.9129917, 0.5676748"
"0.14592418, 1.2576283, 0.69654226, -0.22181839, -0.20090777, -0.3082294, 0.0, 0.0","1.0000305, 0.2150029"
"0.15304556, 1.2530588, 0.7266089, -0.20511784, -0.21551506, -0.292172, 0.0, 0.0","1.0000305, -0.29422894"
"0.16046676, 1.2491271, 0.75638413, -0.17688793, -0.22995615, -0.2888318, 0.0, 0.0","0.9745781, -0.3688162"
"0.16804639, 1.245399, 0.7716778, -0.16789843, -0.2438761, -0.2783994, 0.0, 0.0","0.9363994, -0.46961883"
"0.17574616, 1.2423364, 0.7840298, -0.13851133, -0.25819957, -0.2864693, 0.0, 0.0","0.8912015, -0.5742973"
"0.18342152, 1.2391932, 0.7805966, -0.14205527, -0.27155074, -0.26702374, 0.0, 0.0","0.7966857, -0.70674765"
"0.19129343, 1.2366583, 0.798739, -0.1148455, -0.2834, -0.236985, 0.0, 0.0","0.46699423, -0.84249395"
"0.19917497, 1.2346725, 0.7981606, -0.09023889, -0.29370642, -0.20612851, 0.0, 0.0","0.39316997, -1.0"
"0.20712395, 1.2327304, 0.80291635, -0.08795527, -0.30197254, -0.16532275, 0.0, 0.0","0.2773217, -1.0"
"0.21512899, 1.230684, 0.8065255, -0.09221304, -0.30820242, -0.12459735, 0.0, 0.0","0.21817683, -1.0"
"0.2232543, 1.2286689, 0.8165714, -0.09042594, -0.3123927, -0.08380647, 0.0, 0.0","0.19394512, -1.0"
"0.2312973, 1.2266043, 0.8063676, -0.09220924, -0.31454432, -0.0430321, 0.0, 0.0","0.18619342, -1.0"
"0.23936272, 1.2244244, 0.80665714, -0.096904404, -0.31466293, -0.0023721727, 0.0, 0.0","0.18295847, -1.0"
"0.24740401, 1.2223842, 0.8022668, -0.09027415, -0.31273088, 0.038640406, 0.0, 0.0","0.18118839, -1.0"
"0.2553237, 1.2201496, 0.7881393, -0.098496996, -0.30876046, 0.07940824, 0.0, 0.0","0.18118839, -1.0"
"0.26327696, 1.2178602, 0.7895254, -0.10052988, -0.30275622, 0.12008469, 0.0, 0.0","0.18118839, -1.0"
"0.27122116, 1.2155565, 0.7866351, -0.10078893, -0.29471502, 0.1608244, 0.0, 0.0","0.18118839, -1.0"
"0.27920705, 1.2130123, 0.7888197, -0.11112658, -0.2846547, 0.2012057, 0.0, 0.0","0.1640675, -0.99090546"
"0.28729993, 1.2107325, 0.79752123, -0.099089906, -0.2725752, 0.24159017, 0.0, 0.0","0.1490524, -0.9791253"
"0.29550296, 1.2087023, 0.8065516, -0.08771731, -0.2585053, 0.28139797, 0.0, 0.0","0.0, -0.094821006"
"0.30370647, 1.206075, 0.8065451, -0.114400074, -0.2444356, 0.2813941, 0.0, 0.0","0.0, -0.029389326"
"0.31191033, 1.2028503, 0.8065389, -0.14108291, -0.2303661, 0.28139025, 0.0, 0.0","0.0, -0.008026368"
"0.3201147, 1.1990281, 0.806533, -0.16776578, -0.21629676, 0.2813864, 0.0, 0.0","0.0, -0.0010071108"
"0.32831946, 1.1946084, 0.8065273, -0.19444871, -0.20222764, 0.28138253, 0.0, 0.0","0.0, 3.051851e-05"
"0.3365245, 1.1895914, 0.8065221, -0.2211317, -0.1881587, 0.2813787, 0.0, 0.0","0.0, 3.051851e-05"
"0.3447298, 1.1839769, 0.80651724, -0.2478147, -0.17408995, 0.28137487, 0.0, 0.0","0.0, -0.0056154057"
"0.3529355, 1.177765, 0.80651283, -0.27449772, -0.1600214, 0.28137106, 0.0, 0.0","0.0, -0.020416884"
"0.3611415, 1.1709557, 0.8065087, -0.30118084, -0.14595304, 0.2813672, 0.0, 0.0","0.0, -0.026551103"
"0.36934766, 1.1635488, 0.80650485, -0.32786402, -0.13188487, 0.2813634, 0.0, 0.0","0.0, -0.029053621"
"0.37755403, 1.1555449, 0.8065014, -0.35454717, -0.1178169, 0.28135955, 0.0, 0.0","0.0, -0.03012177"
"0.3857607, 1.1469434, 0.8064982, -0.38123038, -0.10374911, 0.28135574, 0.0, 0.0","0.0, -0.032013915"
"0.39396745, 1.1377447, 0.80649555, -0.40791366, -0.08968151, 0.2813519, 0.0, 0.0","0.0, -0.032013915"
"0.40217438, 1.1279484, 0.8064931, -0.43459693, -0.07561411, 0.28134805, 0.0, 0.0","0.0, -0.04443495"
"0.4103815, 1.1175549, 0.806491, -0.4612802, -0.061546907, 0.28134423, 0.0, 0.0","0.0, -0.11972411"
"0.41858873, 1.1065638, 0.8064893, -0.4879635, -0.0474799, 0.28134036, 0.0, 0.0","0.0, -0.27622303"
"0.42679596, 1.0949756, 0.8064879, -0.51464677, -0.033413075, 0.28133655, 0.0, 0.0","0.0, -0.6005127"
"0.4349478, 1.0827973, 0.7995271, -0.5409758, -0.017948957, 0.30928224, 0.0, 0.0","0.0, -0.7026887"
"0.44304523, 1.0700268, 0.79269755, -0.56746006, -0.001116411, 0.33665067, 0.0, 0.0","0.0, -0.83550525"
"0.45108747, 1.0566566, 0.78575903, -0.5943091, 0.017105147, 0.36443156, 0.0, 0.0","0.0, -1.0"
"0.45903492, 1.0426855, 0.77388227, -0.6213056, 0.03770642, 0.41202515, 0.0, 0.0","0.0, -1.0"
"0.46690625, 1.0281196, 0.76436126, -0.648099, 0.060213976, 0.4501512, 0.0, 0.0","0.0, -1.0"
"0.47471723, 1.0129554, 0.756839, -0.675112, 0.08423195, 0.48035964, 0.0, 0.0","0.0, -1.0"
"0.482442, 0.9971855, 0.7460631, -0.70259154, 0.11042468, 0.52385455, 0.0, 0.0","0.0, -1.0"
"0.4900775, 0.98081905, 0.7349707, -0.7297568, 0.13884392, 0.5683853, 0.0, 0.0","0.10361034, -1.0"
"0.49759054, 0.964252, 0.7208494, -0.7394325, 0.16926524, 0.60842663, 0.0, 0.0","0.15884884, -1.0"
"0.50491905, 0.94771445, 0.70055676, -0.7390088, 0.20169042, 0.648504, 0.0, 0.0","0.26007873, -1.0"
"0.5120506, 0.93085945, 0.6791042, -0.75411874, 0.23611568, 0.68850523, 0.0, 0.0","0.3838313, -0.97418135"
"0.51882255, 0.9142458, 0.64159435, -0.7445101, 0.27240917, 0.72587, 0.0, 0.0","0.4776757, -0.947264"
"0.52537453, 0.89791405, 0.61808574, -0.73322207, 0.31063476, 0.76451266, 0.0, 0.0","0.53117466, -0.9291055"
"0.531721, 0.8819767, 0.5961102, -0.7170856, 0.35083067, 0.80391854, 0.0, 0.0","0.5648671, -0.91003144"
"0.53792465, 0.8658566, 0.5805832, -0.72673297, 0.3929393, 0.84217346, 0.0, 0.0","0.5997192, -0.8895535"
"0.54380333, 0.84969765, 0.5471758, -0.73004174, 0.43677118, 0.8766386, 0.0, 0.0","0.6342357, -0.87163913"
"0.54934615, 0.83340496, 0.5129209, -0.7376874, 0.4822736, 0.91004944, 0.0, 0.0","0.6667989, -0.8471633"
"0.55450666, 0.8176774, 0.47399586, -0.7144461, 0.52967066, 0.9479407, 0.0, 0.0","0.6902676, -0.8328806"
"0.55949336, 0.8020905, 0.45604134, -0.7102406, 0.5790943, 0.98847353, 0.0, 0.0","0.716361, -0.81948304"
"0.56413746, 0.78660995, 0.4216385, -0.7076172, 0.6303276, 1.024667, 0.0, 0.0","0.7439802, -0.80159914"
"0.5683837, 0.7709032, 0.38219705, -0.71976626, 0.6831104, 1.0556573, 0.0, 0.0","0.7623218, -0.78737754"
"0.572306, 0.7552194, 0.35017082, -0.7210451, 0.7377464, 1.0927212, 0.0, 0.0","0.7750481, -0.77373576"
"0.57573336, 0.7398763, 0.30133885, -0.7083043, 0.794293, 1.130934, 0.0, 0.0","0.78225046, -0.74633014"
"0.57871497, 0.72431964, 0.25803083, -0.72010356, 0.8523865, 1.1618712, 0.0, 0.0","0.75539416, -0.65434736"
"0.5814745, 0.7086386, 0.23726118, -0.7280844, 0.9122771, 1.1978147, 0.0, 0.0","0.42475662, -0.3070162"
"0.58387315, 0.6929182, 0.20384677, -0.73150575, 0.9724991, 1.2044418, 0.0, 0.0","0.12973419, -0.1449324"
"0.58581316, 0.6769168, 0.1612148, -0.7451544, 1.0323249, 1.1965201, 0.0, 0.0","0.0, -0.056794945"
"0.58772594, 0.6603393, 0.16159698, -0.77198404, 1.092136, 1.1962254, 0.0, 0.0","0.0, -0.01907407"
"0.5896103, 0.6431839, 0.161993, -0.7987982, 1.1519325, 1.195931, 0.0, 0.0","0.0, -0.0006103702"
"0.5914658, 0.6254474, 0.16240145, -0.8255963, 1.2117141, 1.1956367, 0.0, 0.0","0.0, 0.009094516"
"0.5932914, 0.60712737, 0.16282085, -0.85237783, 1.2714812, 1.1953428, 0.0, 0.0","0.0, 0.010315256"
"0.5950869, 0.58822113, 0.16324972, -0.8791425, 1.3312335, 1.195049, 0.0, 0.0","0.0, 0.010315256"
"0.59685147, 0.5687259, 0.16368651, -0.9058899, 1.3909712, 1.1947554, 0.0, 0.0","0.0, 0.010315256"
"0.598585, 0.54863876, 0.16412967, -0.9326198, 1.4506942, 1.1944621, 0.0, 0.0","0.0, 0.01495407"
"0.6002871, 0.5279571, 0.16457762, -0.95933187, 1.5104026, 1.1941688, 0.0, 0.0","0.0, 0.06579791"
"0.6019579, 0.5066779, 0.16502874, -0.98602617, 1.5700961, 1.1938758, 0.0, 0.0","0.13238929, 0.19180883"
"0.60320604, 0.48471037, 0.1263838, -1.0164422, 1.6295023, 1.1881245, 0.0, 0.0","0.27780998, 0.3707999"
"0.60385054, 0.46198583, 0.069539055, -1.0497288, 1.6885762, 1.1814816, 0.0, 0.0","0.42463455, 0.6620075"
"0.60416126, 0.4388356, 0.039417736, -1.0673567, 1.7461096, 1.1506698, 0.0, 0.0","0.55095065, 0.79784536"
"0.60378855, 0.4149881, -0.026080066, -1.0966398, 1.8016347, 1.1105031, 0.0, 0.0","0.5990173, 0.85262614"
"0.6026608, 0.39018053, -0.099185936, -1.1373863, 1.8549236, 1.0657797, 0.0, 0.0","0.61458176, 0.87060153"
"0.600963, 0.36439106, -0.15415868, -1.1790283, 1.9059207, 1.0199454, 0.0, 0.0","0.61955625, 0.8755455"
"0.59869355, 0.3377763, -0.20966952, -1.2137669, 1.95474, 0.976385, 0.0, 0.0","0.6213263, 0.87691885"
"0.5960827, 0.31063437, -0.2424306, -1.2353292, 2.001493, 0.9350581, 0.0, 0.0","0.6213263, 0.8004395"
"0.5930487, 0.28278646, -0.28360322, -1.2649568, 2.0463545, 0.89723146, 0.0, 0.0","0.63310647, 0.65361494"
"0.589619, 0.2539542, -0.3222282, -1.307056, 2.0894585, 0.86207885, 0.0, 0.0","0.70296335, 0.5205237"
"0.58551663, 0.22427967, -0.38833287, -1.3433679, 2.1316953, 0.8447429, 0.0, 0.0","0.7867977, 0.35840937"
"0.5808276, 0.19326626, -0.44573492, -1.401966, 2.1734426, 0.834946, 0.0, 0.0","1.0000305, 0.2222663"
"0.57541245, 0.16108511, -0.51662827, -1.4534438, 2.2156465, 0.8440833, 0.0, 0.0","1.0000305, 0.14258248"
"0.5695921, 0.12807506, -0.55533653, -1.4898597, 2.2584066, 0.85520315, 0.0, 0.0","1.0000305, 0.11169775"
"0.5629865, 0.093598805, -0.63228655, -1.5543568, 2.3014038, 0.85994434, 0.0, 0.0","1.0000305, 0.10254219"
"0.5556232, 0.057582315, -0.70650584, -1.6220657, 2.3445745, 0.8634137, 0.0, 0.0","1.0000305, 0.0999176"
